system:index,Elev,Humidity,NBR,NDVI,NDWI,Slope,Temp,Wind_Dir,Wind_Spd,.geo
0,1959,5.532540250242789,-0.1415855884552002,0.09855271875858307,-0.11985386908054352,49.4107666015625,8.922254423509571,47.17717493913752,0.7076391461148543,"{""type"":""Point"",""coordinates"":[-117.38354344964002,52.85505129092052]}"
1,692,6.367004875551174,0.18637239933013916,0.24911044538021088,-0.2598840594291687,2.4304423332214355,16.307217609673216,27.213753513788703,0.1285668582456565,"{""type"":""Point"",""coordinates"":[-114.71702491179865,53.85944894369912]}"
2,1137,6.574242253052603,0.08454041928052902,0.18391864001750946,-0.17925311625003815,9.318460464477539,14.489818199893932,-0.08482903773255329,0.3325787030608731,"{""type"":""Point"",""coordinates"":[-116.01358167707586,52.90069533145224]}"
3,1194,6.758069971151485,0.27140870690345764,0.32918137311935425,-0.30292457342147827,2.7802884578704834,13.730510873961862,17.014513377737735,0.5333388420286511,"{""type"":""Point"",""coordinates"":[-117.08106386878599,53.287136022558386]}"
4,801,6.064578353312982,0.24843423068523407,0.309944748878479,-0.2743886113166809,4.020810127258301,15.356706413469851,-30.907542568439432,0.2224389634027934,"{""type"":""Point"",""coordinates"":[-115.99485377896266,53.715888205982964]}"
5,1016,6.704794310686907,0.04344018176198006,0.20133207738399506,-0.28623396158218384,1.776342749595642,15.222574162064973,56.75552720900823,0.23761378130211194,"{""type"":""Point"",""coordinates"":[-114.89049198381652,52.26979996252429]}"
6,644,6.303795475708796,0.009486607275903225,0.20068742334842682,-0.25171399116516113,0.0,16.204893241012314,53.28514513268538,0.13382223953724132,"{""type"":""Point"",""coordinates"":[-114.54416570688913,54.071721839692614]}"
7,727,6.401509548488434,0.2944783568382263,0.43834105134010315,-0.39456215500831604,3.1925082206726074,16.097696232377473,8.80543416976065,0.14838699003387126,"{""type"":""Point"",""coordinates"":[-114.91760482768834,53.84159132555317]}"
8,650,6.566444744143553,0.29746657609939575,0.3883012533187866,-0.3416760265827179,1.828593373298645,16.29264466302436,93.18226677778222,0.21689431353825442,"{""type"":""Point"",""coordinates"":[-113.29072832648245,53.96564627538344]}"
9,682,6.367004875551174,0.1729971170425415,0.2444458305835724,-0.299484521150589,1.5733381509780884,16.307217609673216,27.213753513788703,0.1285668582456565,"{""type"":""Point"",""coordinates"":[-114.69939523604674,53.88865262072852]}"
10,835,6.136121728964042,0.31591060757637024,0.38337442278862,-0.3279849588871002,9.537138938903809,15.52099003206223,-14.81460108264993,0.20425600333913763,"{""type"":""Point"",""coordinates"":[-115.43528818551874,53.81378319470119]}"
11,720,6.227095700146833,0.11570344120264053,-0.02621142379939556,0.11619767546653748,0.0,16.219435670083044,51.247191330115974,0.10214874147847654,"{""type"":""Point"",""coordinates"":[-114.39271791597179,53.73560914101269]}"
12,1010,6.858930566854667,-0.02149295061826706,0.22431348264217377,-0.21109840273857117,0.0,14.662608727237682,14.726180638881775,0.31567228324604835,"{""type"":""Point"",""coordinates"":[-116.55883242621768,53.304913527202736]}"
13,911,7.440560805170151,0.5420244336128235,0.5297062993049622,-0.4596451222896576,0.9274099469184875,16.098156137633737,102.65330014434082,0.25174111852730047,"{""type"":""Point"",""coordinates"":[-113.72238418839059,52.25817394998547]}"
14,1048,6.842355238763901,0.2924636900424957,0.3719262182712555,-0.33789846301078796,9.386004447937012,14.311103514621152,22.372591682041673,0.3740583805443871,"{""type"":""Point"",""coordinates"":[-116.61880922770148,53.18824989396056]}"
