system:index,NBR,NDVI,.geo
0,0.28293219208717346,0.3915673494338989,"{""type"":""Point"",""coordinates"":[-113.66483806038119,53.17815262427839]}"
1,0.2670722007751465,0.4400331676006317,"{""type"":""Point"",""coordinates"":[-113.29239273906724,52.098258991365284]}"
2,0.34486812353134155,0.47749871015548706,"{""type"":""Point"",""coordinates"":[-115.59297586218679,52.629260304538185]}"
3,0.039181336760520935,0.22420307993888855,"{""type"":""Point"",""coordinates"":[-113.29352451017459,52.29336991840494]}"
4,0.37782609462738037,0.4254249334335327,"{""type"":""Point"",""coordinates"":[-115.38633857297013,54.77023998572325]}"
5,0.4318954050540924,0.4219280481338501,"{""type"":""Point"",""coordinates"":[-113.7551680401943,54.98745154218879]}"
6,0.4331371486186981,0.4334791302680969,"{""type"":""Point"",""coordinates"":[-115.37464436913035,54.038264508974905]}"
7,0.4023856818675995,0.46552231907844543,"{""type"":""Point"",""coordinates"":[-116.93071006698855,54.67080985786036]}"
8,0.3495003283023834,0.49310851097106934,"{""type"":""Point"",""coordinates"":[-116.9618467923796,54.27968701068663]}"
9,0.48456332087516785,0.5731965899467468,"{""type"":""Point"",""coordinates"":[-115.57432869439272,53.927385008448525]}"
10,0.23871321976184845,0.39847636222839355,"{""type"":""Point"",""coordinates"":[-113.76286680714658,53.22357341559892]}"
11,0.17790445685386658,0.2022607922554016,"{""type"":""Point"",""coordinates"":[-114.4096137363697,54.11776773516491]}"
12,0.2963380813598633,0.4504345655441284,"{""type"":""Point"",""coordinates"":[-113.01751059394327,53.500633472203106]}"
13,0.2978200912475586,0.3418138325214386,"{""type"":""Point"",""coordinates"":[-116.50205590325243,54.7840091628877]}"
14,0.006556591484695673,0.05459146946668625,"{""type"":""Point"",""coordinates"":[-116.12780500854292,52.07890172987373]}"
15,0.3377249240875244,0.48763570189476013,"{""type"":""Point"",""coordinates"":[-113.52457058763378,52.40948575340422]}"
16,0.3099631071090698,0.3839572072029114,"{""type"":""Point"",""coordinates"":[-115.48266701390796,52.447404180533574]}"
17,0.07444879412651062,0.26962029933929443,"{""type"":""Point"",""coordinates"":[-117.04474435432883,54.99178614449401]}"
18,0.03749231621623039,0.046755239367485046,"{""type"":""Point"",""coordinates"":[-117.14777634379264,52.246164114730675]}"
19,0.05466970428824425,0.27716976404190063,"{""type"":""Point"",""coordinates"":[-116.26235142735644,52.690526364979625]}"
21,0.21076373755931854,0.44834572076797485,"{""type"":""Point"",""coordinates"":[-116.50178070026394,54.43944825818164]}"
22,0.39191627502441406,0.46043166518211365,"{""type"":""Point"",""coordinates"":[-114.26360078830322,53.955980170663345]}"
23,0.1781672090291977,0.23767873644828796,"{""type"":""Point"",""coordinates"":[-114.36425856133118,54.25802952561895]}"
24,0.3048804700374603,0.3971014618873596,"{""type"":""Point"",""coordinates"":[-117.00408400390579,54.90358183499657]}"
25,0.362613320350647,0.4127015173435211,"{""type"":""Point"",""coordinates"":[-113.95242745278753,53.271602921307085]}"
26,0.2504618763923645,0.3439037799835205,"{""type"":""Point"",""coordinates"":[-117.2910034249196,53.11820147582885]}"
27,0.36059343814849854,0.4566666781902313,"{""type"":""Point"",""coordinates"":[-115.31562159777805,52.027460776220664]}"
28,0.39443203806877136,0.4218423664569855,"{""type"":""Point"",""coordinates"":[-114.53067512199064,54.43405822833681]}"
29,0.3420098125934601,0.38678544759750366,"{""type"":""Point"",""coordinates"":[-114.79390507282227,54.29184370878681]}"
30,0.07404165714979172,0.21799659729003906,"{""type"":""Point"",""coordinates"":[-113.2321353505672,52.90326482549241]}"
31,0.37309345602989197,0.4324510991573334,"{""type"":""Point"",""coordinates"":[-114.94555327023134,54.16468892982896]}"
32,0.07286672294139862,0.2701079845428467,"{""type"":""Point"",""coordinates"":[-113.92340321700213,52.727291442234105]}"
33,0.34010016918182373,0.3907683491706848,"{""type"":""Point"",""coordinates"":[-116.53676229117663,53.65526979609275]}"
34,0.3152787983417511,0.4630393385887146,"{""type"":""Point"",""coordinates"":[-113.88572023824132,53.24664850131168]}"
