system:index,NBR,NDVI,.geo
0,-0.1415855884552002,0.10183720290660858,"{""type"":""Point"",""coordinates"":[-117.38354344964002,52.85505129092052]}"
1,0.20976382493972778,0.3027447760105133,"{""type"":""Point"",""coordinates"":[-114.71702491179865,53.85944894369912]}"
2,0.22534403204917908,0.2963300049304962,"{""type"":""Point"",""coordinates"":[-116.01358167707586,52.90069533145224]}"
3,0.2824047803878784,0.3560633063316345,"{""type"":""Point"",""coordinates"":[-117.08106386878599,53.287136022558386]}"
4,0.25919073820114136,0.321351557970047,"{""type"":""Point"",""coordinates"":[-115.99485377896266,53.715888205982964]}"
5,0.08170004189014435,0.25424593687057495,"{""type"":""Point"",""coordinates"":[-114.89049198381652,52.26979996252429]}"
6,0.015324054285883904,0.20575842261314392,"{""type"":""Point"",""coordinates"":[-114.54416570688913,54.071721839692614]}"
7,0.31497928500175476,0.49070361256599426,"{""type"":""Point"",""coordinates"":[-114.91760482768834,53.84159132555317]}"
8,0.3152463436126709,0.4151875674724579,"{""type"":""Point"",""coordinates"":[-113.29072832648245,53.96564627538344]}"
9,0.18528658151626587,0.3015623688697815,"{""type"":""Point"",""coordinates"":[-114.69939523604674,53.88865262072852]}"
10,0.3503797948360443,0.393515944480896,"{""type"":""Point"",""coordinates"":[-115.43528818551874,53.81378319470119]}"
11,0.13360996544361115,-0.009579955600202084,"{""type"":""Point"",""coordinates"":[-114.39271791597179,53.73560914101269]}"
12,-0.007690399419516325,0.23432745039463043,"{""type"":""Point"",""coordinates"":[-116.55883242621768,53.304913527202736]}"
13,0.5420244336128235,0.5297062993049622,"{""type"":""Point"",""coordinates"":[-113.72238418839059,52.25817394998547]}"
14,0.29692012071609497,0.37918633222579956,"{""type"":""Point"",""coordinates"":[-116.61880922770148,53.18824989396056]}"
15,0.40060651302337646,0.4926035404205322,"{""type"":""Point"",""coordinates"":[-115.71959229174902,53.7691322220509]}"
16,0.2810126543045044,0.43872588872909546,"{""type"":""Point"",""coordinates"":[-113.23257577447617,52.81851989665211]}"
17,0.36708420515060425,0.43464550375938416,"{""type"":""Point"",""coordinates"":[-116.1875135834091,54.204408220148416]}"
18,0.3329870402812958,0.40944114327430725,"{""type"":""Point"",""coordinates"":[-113.22823236856495,54.21068863998601]}"
19,0.05433440953493118,0.1832895427942276,"{""type"":""Point"",""coordinates"":[-115.56142951992692,52.766855185402456]}"
20,0.3447928726673126,0.39493295550346375,"{""type"":""Point"",""coordinates"":[-114.36806301866069,52.43064087509]}"
21,0.3170311748981476,0.42616626620292664,"{""type"":""Point"",""coordinates"":[-113.45617167089274,54.54751433096418]}"
22,0.24796663224697113,0.3884490132331848,"{""type"":""Point"",""coordinates"":[-113.73563697014693,52.05758175743425]}"
23,0.16818749904632568,0.2620917856693268,"{""type"":""Point"",""coordinates"":[-113.0722165329216,54.168423741176724]}"
24,0.4060154855251312,0.5024448037147522,"{""type"":""Point"",""coordinates"":[-116.95478902863663,54.886484451010176]}"
25,0.32296955585479736,0.4499216079711914,"{""type"":""Point"",""coordinates"":[-113.37429604674146,53.576522881070396]}"
26,0.17027656733989716,0.30323028564453125,"{""type"":""Point"",""coordinates"":[-114.10165528894716,53.47549446206324]}"
27,0.1546589881181717,0.33029502630233765,"{""type"":""Point"",""coordinates"":[-117.24806508196998,53.67504062092952]}"
28,0.32741761207580566,0.36632442474365234,"{""type"":""Point"",""coordinates"":[-113.21641636302502,53.912619722367126]}"
29,0.19291457533836365,0.278184175491333,"{""type"":""Point"",""coordinates"":[-113.08415024036198,54.23567218301652]}"
30,0.25509074330329895,0.36102867126464844,"{""type"":""Point"",""coordinates"":[-115.24159206263789,52.8955399855166]}"
31,0.20785465836524963,0.4080945551395416,"{""type"":""Point"",""coordinates"":[-113.93776283661376,53.46418349026388]}"
32,0.3104359209537506,0.3423992991447449,"{""type"":""Point"",""coordinates"":[-116.85229821427538,52.942159882286084]}"
33,0.15734486281871796,0.26136642694473267,"{""type"":""Point"",""coordinates"":[-113.56941547509535,54.12173805387912]}"
34,0.34850412607192993,0.487335741519928,"{""type"":""Point"",""coordinates"":[-113.52006324668754,53.664984039783036]}"
35,0.25635331869125366,0.30096670985221863,"{""type"":""Point"",""coordinates"":[-116.7186917844512,54.173125527563464]}"
36,0.28941822052001953,0.39337143301963806,"{""type"":""Point"",""coordinates"":[-116.80029396063244,54.05533652775989]}"
37,0.09317507594823837,0.1747235357761383,"{""type"":""Point"",""coordinates"":[-113.33196122084118,52.72840564584503]}"
38,0.2645091712474823,0.27779701352119446,"{""type"":""Point"",""coordinates"":[-113.96613782345216,54.710438077986296]}"
39,0.376369833946228,0.4034283757209778,"{""type"":""Point"",""coordinates"":[-114.19970158512744,54.68128927352387]}"
40,0.21453872323036194,0.3096140921115875,"{""type"":""Point"",""coordinates"":[-113.66730799622785,54.17402011643272]}"
41,0.28469371795654297,0.4246147871017456,"{""type"":""Point"",""coordinates"":[-114.44214621650497,52.03334715436748]}"
42,-0.07202304899692535,0.06119846925139427,"{""type"":""Point"",""coordinates"":[-117.26090202805696,52.496743450999624]}"
43,0.328775018453598,0.39915767312049866,"{""type"":""Point"",""coordinates"":[-115.54463798501028,53.49547591043045]}"
44,-0.13564081490039825,0.06693193316459656,"{""type"":""Point"",""coordinates"":[-116.49146843487976,52.136986646717034]}"
45,0.09959664940834045,0.23327194154262543,"{""type"":""Point"",""coordinates"":[-116.37794561155631,53.11082288740914]}"
46,0.393782377243042,0.4655623435974121,"{""type"":""Point"",""coordinates"":[-116.66783657701986,53.76738949339062]}"
47,0.3724295496940613,0.5160443186759949,"{""type"":""Point"",""coordinates"":[-115.01464834430307,53.753995042265124]}"
48,0.2936795651912689,0.3625296652317047,"{""type"":""Point"",""coordinates"":[-115.360678957739,52.82979425784569]}"
49,0.3807072639465332,0.46866798400878906,"{""type"":""Point"",""coordinates"":[-115.88241870074282,54.41861239040449]}"
50,0.18744483590126038,0.3311624526977539,"{""type"":""Point"",""coordinates"":[-116.38597435171782,53.26701463771496]}"
51,0.5115810036659241,0.42042598128318787,"{""type"":""Point"",""coordinates"":[-113.4133602494566,53.38956277895947]}"
52,0.19941435754299164,0.29497721791267395,"{""type"":""Point"",""coordinates"":[-113.86282626731266,54.1136829182461]}"
53,0.28725630044937134,0.3525996208190918,"{""type"":""Point"",""coordinates"":[-113.1980078147764,54.725749310514544]}"
54,0.2956610321998596,0.3316841125488281,"{""type"":""Point"",""coordinates"":[-115.64823248898969,54.31431168884089]}"
55,0.048922453075647354,0.24208854138851166,"{""type"":""Point"",""coordinates"":[-113.50810614410285,53.44728993985121]}"
56,0.17821158468723297,0.25875410437583923,"{""type"":""Point"",""coordinates"":[-116.1638576296979,52.175714733942186]}"
57,0.29075849056243896,0.3497563600540161,"{""type"":""Point"",""coordinates"":[-116.71356584933834,53.25083903141818]}"
58,0.1437256932258606,0.22734224796295166,"{""type"":""Point"",""coordinates"":[-114.13742997700834,54.21670012547567]}"
59,0.37776994705200195,0.39747729897499084,"{""type"":""Point"",""coordinates"":[-115.56496484503697,54.356873640935206]}"
60,0.39754045009613037,0.563892126083374,"{""type"":""Point"",""coordinates"":[-114.40756786007069,53.90400351969861]}"
61,0.2075003832578659,0.3143422305583954,"{""type"":""Point"",""coordinates"":[-117.01774634417835,52.11805298442397]}"
62,0.18965758383274078,0.31457579135894775,"{""type"":""Point"",""coordinates"":[-113.88539365343092,54.28460139957319]}"
63,0.43886351585388184,0.511030912399292,"{""type"":""Point"",""coordinates"":[-114.17472483521463,53.88221998926888]}"
64,-0.1460566371679306,0.09640592336654663,"{""type"":""Point"",""coordinates"":[-116.75625141946038,52.40982715824508]}"
65,0.3853286802768707,0.4554549753665924,"{""type"":""Point"",""coordinates"":[-115.29420437010215,52.727448664469605]}"
66,0.2909712493419647,0.36868685483932495,"{""type"":""Point"",""coordinates"":[-116.42985975475378,52.96939695168097]}"
67,0.42092788219451904,0.48502230644226074,"{""type"":""Point"",""coordinates"":[-116.20169280862602,52.57672330042439]}"
68,0.386310338973999,0.4749191403388977,"{""type"":""Point"",""coordinates"":[-115.57469972532033,53.12666112031456]}"
69,0.025691870599985123,-0.03047538921236992,"{""type"":""Point"",""coordinates"":[-113.03089277515872,52.577735928087336]}"
70,0.3241336941719055,0.38361403346061707,"{""type"":""Point"",""coordinates"":[-115.24966484028158,53.4918130615047]}"
71,0.45011618733406067,0.5386797785758972,"{""type"":""Point"",""coordinates"":[-113.99118346886266,52.83811542999675]}"
72,0.32941725850105286,0.4150773882865906,"{""type"":""Point"",""coordinates"":[-113.74301015367928,54.681356390661726]}"
73,0.3678269684314728,0.5197974443435669,"{""type"":""Point"",""coordinates"":[-114.12729008738575,52.43143957283171]}"
74,0.3780108094215393,0.5082793235778809,"{""type"":""Point"",""coordinates"":[-113.35953158798326,53.148847425461696]}"
75,0.07619311660528183,0.2848137617111206,"{""type"":""Point"",""coordinates"":[-117.03653750182565,52.908733978991876]}"
76,0.07036195695400238,0.2906067669391632,"{""type"":""Point"",""coordinates"":[-114.21327362761986,54.38411095729195]}"
77,0.3520449101924896,0.3903058171272278,"{""type"":""Point"",""coordinates"":[-117.36407770925541,54.81073901099478]}"
78,0.14236226677894592,0.28427425026893616,"{""type"":""Point"",""coordinates"":[-113.27396368037134,52.700530644755645]}"
79,0.29193341732025146,0.39761796593666077,"{""type"":""Point"",""coordinates"":[-115.85572398772409,53.69613148476241]}"
80,-0.06901177763938904,0.0788518637418747,"{""type"":""Point"",""coordinates"":[-113.07174573107297,52.25028709609173]}"
81,0.4285378158092499,0.45575764775276184,"{""type"":""Point"",""coordinates"":[-114.53645613411724,54.6790105045911]}"
82,0.13543091714382172,0.27134186029434204,"{""type"":""Point"",""coordinates"":[-114.166697348381,52.328311286849924]}"
83,0.19910204410552979,0.33981508016586304,"{""type"":""Point"",""coordinates"":[-114.95138877667488,53.256722959994605]}"
84,0.20736537873744965,0.37221845984458923,"{""type"":""Point"",""coordinates"":[-116.1877677127684,54.539721311224774]}"
85,0.374335378408432,0.5288212299346924,"{""type"":""Point"",""coordinates"":[-114.38712310211035,52.550364820496256]}"
86,0.24784891307353973,0.33526718616485596,"{""type"":""Point"",""coordinates"":[-116.62899592581506,54.5060757218464]}"
