Lat,Lon,Brightness,Confidence,Satellite,Instrument,DayNight,Timestamp
52.5005,-116.8153,313.8,88,Terra,MODIS,N,2024-07-24 04:01:00
52.4893,-116.8588,304.6,61,Terra,MODIS,N,2024-07-24 04:01:00
52.1973,-116.0784,353.8,100,Terra,MODIS,N,2024-07-24 04:01:00
52.2174,-116.0557,315.9,92,Terra,MODIS,N,2024-07-24 04:01:00
52.0552,-117.4028,316.5,93,Terra,MODIS,N,2024-07-24 05:39:00
52.0234,-117.3493,334.3,100,Terra,MODIS,N,2024-07-24 05:39:00
52.0219,-117.3822,319.5,99,Terra,MODIS,N,2024-07-24 05:39:00
52.0156,-117.3519,324.4,100,Terra,MODIS,N,2024-07-24 05:39:00
52.0293,-117.3566,327.5,100,Terra,MODIS,N,2024-07-24 05:39:00
52.1055,-117.3409,305.2,64,Terra,MODIS,N,2024-07-24 05:39:00
52.2084,-116.0707,315.4,91,Terra,MODIS,N,2024-07-24 05:39:00
52.2084,-116.0783,313.7,88,Terra,MODIS,N,2024-07-24 05:39:00
52.451,-116.8048,359.1,100,Terra,MODIS,N,2024-07-24 05:39:00
52.4495,-116.8464,360.4,100,Terra,MODIS,N,2024-07-24 05:39:00
52.4541,-116.8092,353.9,100,Terra,MODIS,N,2024-07-24 05:39:00
52.4527,-116.8524,339.1,100,Terra,MODIS,N,2024-07-24 05:39:00
52.4758,-116.8258,320.0,75,Terra,MODIS,D,2024-07-24 17:31:00
52.4625,-116.8251,344.8,94,Terra,MODIS,D,2024-07-24 17:31:00
52.4509,-116.8558,341.5,92,Terra,MODIS,D,2024-07-24 17:31:00
52.4494,-116.8266,436.7,100,Terra,MODIS,D,2024-07-24 17:31:00
52.4473,-116.7861,363.6,100,Terra,MODIS,D,2024-07-24 17:31:00
52.4363,-116.8273,315.9,65,Terra,MODIS,D,2024-07-24 17:31:00
52.4388,-116.8318,359.1,99,Terra,MODIS,D,2024-07-24 17:31:00
52.4371,-116.7996,331.1,86,Terra,MODIS,D,2024-07-24 17:31:00
52.2028,-116.0694,309.6,63,Terra,MODIS,D,2024-07-24 17:31:00
52.0172,-117.3455,313.8,69,Terra,MODIS,D,2024-07-24 17:31:00
52.4386,-116.8044,325.0,78,Terra,MODIS,D,2024-07-24 19:08:00
52.2194,-116.0915,317.6,75,Terra,MODIS,D,2024-07-24 19:08:00
52.2068,-116.0479,335.5,89,Terra,MODIS,D,2024-07-24 19:08:00
52.4388,-116.8113,328.8,85,Terra,MODIS,D,2024-07-24 19:08:00
52.2105,-116.0523,331.8,87,Terra,MODIS,D,2024-07-24 19:08:00
52.1967,-116.0636,314.1,72,Terra,MODIS,D,2024-07-24 19:08:00
52.4511,-116.8493,323.0,71,Terra,MODIS,D,2024-07-24 19:08:00
52.494,-116.5385,448.9,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.2054,-116.0498,335.6,88,Aqua,MODIS,D,2024-07-24 20:58:00
52.2024,-116.0659,361.2,100,Aqua,MODIS,D,2024-07-24 20:58:00
52.2115,-116.0707,335.2,88,Aqua,MODIS,D,2024-07-24 20:58:00
52.0114,-117.3408,344.8,93,Aqua,MODIS,D,2024-07-24 20:58:00
